student_id,major,study_hours,sleep_hours,coffee_cups,exam_score
1,Biology,5,7,1,78
2,CS,8,6,3,88
3,Statistics,6,7,2,82
4,CS,3,5,4,64
5,Biology,7,8,1,85
6,Mathematics,9,6,2,91
7,CS,NA,7,3,73
8,Statistics,5,6,2,79
9,Biology,4,8,0,70
10,CS,10,5,5,93
11,Mathematics,6,7,1,80
12,Statistics,7,7,2,84
13,CS,2,6,3,58
14,Biology,6,8,1,81
15,Mathematics,8,6,2,89
16,CS,5,NA,2,75
17,Statistics,9,7,1,90
18,Biology,3,8,0,66
19,Mathematics,7,6,3,83
20,CS,6,7,2,79
21,Statistics,4,6,2,71
22,Biology,8,8,1,87
23,Mathematics,5,7,2,76
24,CS,NA,6,4,NA
25,Statistics,6,7,1,80
26,Biology,7,7,2,84
27,Mathematics,9,6,1,92
28,CS,4,5,3,68
